judge,pre_question,pre_rhetorical_question,pre_gif,pre_thoughts,pre_assess,pre_doubt,pre_negation,pre_pauses,pre_causation,pre_falsity,pre_conflict,aft_question,aft_rhetorical_question,aft_gif,aft_thoughts,aft_assess,aft_doubt,aft_negation,aft_pauses,aft_causation,aft_falsity,aft_conflict,class
Exist,What,Null,Exist,Exist,Exist,Null,Null,Null,Null,Null,Null,Null,Null,Exist,Null,Null,More,More,Null,Null,Null,Null,p
Exist,Null,Exist,Null,Exist,Null,Null,Exist,Null,Null,Null,Null,why,Null,Null,Exist,Exist,Null,Null,Null,Exist,Null,Null,p
Exist,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,when,Null,Exist,Exist,Null,Null,Null,Null,Null,Null,Exist,p
Exist,More,Null,Null,Null,Null,Exist,Null,Null,Exist,Null,Null,Null,Null,Exist,Exist,Null,Null,Exist,Null,Null,Exist,Null,p
Exist,What,Null,Null,Null,Null,Null,Null,Null,Null,Exist,Null,how,Null,Null,Null,Null,Exist,Null,Null,Null,Null,Null,p
Null,More,Exist,Null,Exist,Exist,Null,Exist,Exist,Null,Null,Null,why,Null,Null,Exist,Exist,Null,Null,Null,Exist,Null,Exist,p
Exist,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Exist,Null,Null,Null,Null,Exist,Null,Null,More,Null,Null,Null,Null,p
Exist,Null,Null,Exist,Exist,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Exist,Exist,Null,Null,Null,Null,p
Exist,what,Null,Null,Exist,Exist,Null,Exist,Null,Exist,Exist,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Exist,Null,Exist,p
Exist,Null,Null,Null,Null,Null,Exist,Exist,Null,Exist,Null,Null,why,Null,Exist,Null,Exist,Null,Exist,Null,Exist,Null,Null,p
Exist,Null,Null,Null,Null,Null,Exist,Exist,Null,Null,Null,Null,why,Null,Exist,Null,More,Null,More,Null,Exist,Exist,Null,p
Exist,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,why,Null,Exist,Null,More,Null,More,Null,Exist,Exist,Null,p
Exist,Null,Null,Exist,Exist,Exist,Null,Null,Null,Null,Null,Null,More,Null,Exist,Exist,Null,Null,Exist,Null,Null,Exist,Null,p
Exist,More,Null,Exist,Exist,Exist,Null,Null,Null,Null,Exist,Null,More,Null,Exist,Null,Null,Null,Null,Exist,Null,Exist,Null,p
Exist,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,More,Null,Exist,Exist,Exist,Null,More,Exist,Exist,Exist,Null,p
Exist,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,More,Null,Null,Null,Null,Null,Exist,Null,Null,Exist,Null,p
Exist,Null,Null,Exist,Exist,Null,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,Null,Exist,Null,Null,Null,Null,p
Exist,More,Null,Null,Exist,More,Null,Null,Null,Null,Null,Null,Null,Null,Exist,Null,Exist,Null,More,Null,Null,Null,Null,p
Null,What,Null,Null,Exist,Exist,Null,Null,Null,Null,Null,Null,How,Null,Exist,Exist,More,Null,More,Null,Null,Null,Null,p
Exist,Null,Null,Null,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Exist,Null,Null,Null,Exist,Null,Exist,Null,Null,p
